,year,firstname,lastname,alt_name,company,comment,sources,play_performance,keyword
357,1896,P. Castor,Watt,,,change artist; imitated Sarah Bernhardt’s stage walk; a few female impersonations; Olympia Theatre,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]21 Jan 1896: 2.",,
358,1896,,Urdahl,,,,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]21 Jan 1896: 2.",,
359,1896,A.,Von Bendeleben,,,"wait a second — he’s an athlete….! A cyclist! rival of Richard Harlow; make-up in hands of George Clifton; given ovation for performance of “Isabella” from 1492, dressed as Isabella; then did encore with soprano version of “Because I Love You” — accompanied with sketch. PDF saved","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]21 Jan 1896: 9.",,
360,1896,Burr,McIntosh,,,Lydia Dreams?? who’s the artist here?\,"New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]09 Feb 1896: 8.",,
361,1896,Bessie,Bonehill,,,"the best importation we have had from London’s music halls; most graceful, refined, and illustration that the stage has given us of what the new woman might be; take conservatives to see how stunning she wears trousers; in spite of her men’s clothes, the reviewer writes that we haven’t had no such womanly woman on stage","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]08 Mar 1896: 19.",,
362,1896,Richard,Harlow,,,young fellow who wears low-necked dresses and skirts as gracefully and naturally as Miss Bonehill dons man’s attire; athletic training; female impersonator who had never been surpassed within the memory of the present generations of theatergoers; elevates this style of impersonation to the plane of genuine high comedy; doesn’t want to be a man impersonating a woman but he seems to be the woman herself—the illusion is complete; there is no offensive suggestiveness in his impersonation; the “original Queen Isabella”; marvelous female impersonator; perhaps the best in his peculiar line on the stage,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]08 Mar 1896: 19.

Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]09 Mar 1896: 4.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]16 Mar 1896: 4.",1492,
363,1896,,Stuart,,,clever and deceptive; called “the male Patti” because of the excellent quality of a soprano voice,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]15 Mar 1896: 12.",,clever
364,1896,,,,,______ can’t find,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]15 Mar 1896: 14.,,
365,1896,Charles K.,Field,,Stanford University Glee and Mandolin clubs concert],,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]17 Mar 1896: 8.",,
366,1896,Bert,McLachlan,,Haverly’s minstrels,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]22 Mar 1896: 13.",,
367,1896,,,,,behind the stage of 1492 - PDF saved,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]22 Mar 1896: 25.",1492,
368,1896,C. S.,Morgan,,,remarkable male skirt dancer; make-up was almost perfect; singing fairly good; dancing remarkable; he could make a more pronounced success as a female impersonator—but I imagine that the brief experience gained in last week’s performance is sufficient to gratify his desire for fame as an actor,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]12 Apr 1896: 35.,,
369,1896,,Wallace,,Plantation Minstrel Company,,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]29 Apr 1896: 2.",,
370,1896,Ella,Zoyari,,,female rider; daughter of “Pence” Stokes; introduced to European nobility as a woman — PDF downloaded,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]06 May 1896: 4.",,
371,1896,Etienne,Girardot,,,"success as a female impersonator in ""Charley’s Aunt”","The Hartford Courant (1887-1922); Hartford, Conn. [Hartford, Conn]11 May 1896: 5.",Charley’s Aunt,
372,1896,William,Gauze,,,colored female impersonator,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]31 May 1896: 12.",,
373,1896,,Stuart,,,the “male Patti”; voice pitched so high as to be called a soprano; made a big hit,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]09 June 1896: 10.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]21 Dec 1896: 6.",,
374,1896,,,,,______ can’t find,"Richard Hamilton Potts. Vogue; New York Vol. 8, Iss. 3, (Jul 16, 1896): 36, 38, 39, 42.",,
375,1896,Hattie,Wallace*,,,male impersonator — PDF downloaded,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]09 Aug 1896: 18.",,
376,1896,Harry,Le Clair,,,"presenting his ""protean entertainment""","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]24 Aug 1896: 1.",,
377,1896,Willis,Polk,,,architect and female impersonator — but why??,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]26 Aug 1896: 16.",,
378,1896,Francis,Leon,,,,"Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]27 Sep 1896: 36.",,
379,1896,,,,,essay on cross-dressing in literature — PDF downloaded,"Current Literature (1888-1912); New York Vol. VOL. XX,, Iss. No. 5, (Nov 1896): 452.",,
380,1896,,,,,looking for female impersonators,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]08 Nov 1896: 6.",,
381,1896,Richard,Harlow,,,going to try his fortune in vaudeville,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]28 Nov 1896: 8.",,
382,1896,,,,,book about U. S. Grant shows Grant as amateur actor and female impersonator at Corpus Christi,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]29 Nov 1896: 30.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]29 Nov 1896: A5.

Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]12 Dec 1896: 11.",,
383,1896,Eddie,La Ray,,,female impersonator and acrobatic artist; set guests laughing,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]09 Dec 1896: 8.",,
384,1897,,La Drew,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]03 Jan 1897: 16.",,
385,1897,[Joseph],Hennella,,,young female impersonator at charity benefit; dancing. Surrounded by a bevy of damsels in tights; one audience member asked “Are all the rest ladies?” The misplaces skirts and the lack of them were bewildering.. died in 1912 from tight lacing.,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 Jan 1897: 26.",,
386,1897,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]12 Jan 1897: 4.",,
387,1897,Isane,Ivins,,,?),Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]17 Jan 1897: 19.,,
388,1897,Alexander,Tacianu,,,female impersonator from Holland {later said to be from Vienna}; appeared for the first time; Koster & Bial’s,"New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]26 Jan 1897: 12.",,
389,1897,S.,Camp,,,displayed his powers as female impersonator; sang several songs in a soprano voice; benefit performance,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]17 Feb 1897: 7.",,
390,1897,,,,,______can’t find,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]16 Mar 1897: 7.",,
391,1897,Neil,Burgess,,,"eight years after retirement, now comparatively poor man; rushed out of hiding and sailed for England","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]28 Mar 1897: 18.",,
392,1897,Alexander,Tacianu,,,made his debut before a Philadelphia audience; falsetto voice of tare clearness; sang songs with brilliancy and full fledged prima donna,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]30 Mar 1897: 5.,,
393,1897,,,,,______ can’t find,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]12 Apr 1897: 8.",,
394,1897,,Stuart,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]13 Apr 1897: 7.,,
395,1897,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]16 Apr 1897: 2.",,
396,1897,Paul,Brady,,,Master Paul Brady; female impersonator; 14 year old in 1897 = born in 1883,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]25 Apr 1897: 2.

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]30 Aug 1897: 1.",,
397,1897,,Robzart,,,"is this Roizart??? double-voiced vocalist but not credited as ""female impersonator""",,,
398,1897,Alexander,Tacianu,,,male soprano; just from Vienna; made one of the greatest hits ever made in the Orpheum last night; natural voice is robust baritone; changes to a pure soprano at will; phenomenal; was at Koster & Bial Spring 1896 and back in August 1897,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]27 Apr 1897: 5.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]02 May 1897: 5.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]08 Aug 1897: 7.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]15 Aug 1897: 7.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]18 Aug 1897: 7.",,
399,1897,Clarence T.,Harris,,,vaudeville female impersonator; imprisoned under a sentence of ten years,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 May 1897: 8.",,
400,1897,Clarence,Arthur,,,amateur performer at the Nickelodeon Theatre’s Thursday nights; many performers bring a claque,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]27 June 1897: 4.",,
401,1897,Harry,Le Clair,,,female impersonator and burlesque artist; female impersonator and comedian,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]04 July 1897: 5.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]02 Aug 1897: 4.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]09 Aug 1897: 4.",,
402,1897,Charles,Cole,,,suicide attempt; came to Los Angeles while committed to Whittier and released on parole; engaged at an LA concert hall as a female impersonator; a part in which he was very clever; unusually handsome; pronounced Spanish type; black hair allowed to brow so long that it waved over shoulders; captivating young person when arrayed in his fluffy skirts of silk and lace — PDF downloaded,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]26 July 1897: 10.",,clever
403,1897,Harry,Considine,,,,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]06 Aug 1897: 8",,
404,1897,,Stuart,,,,"New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]15 Aug 1897: 7.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]17 Aug 1897: 7.",,
405,1897,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]22 Aug 1897: 17.",,
406,1897,F. B.,Her (?),,,"amateur yacht club vaudeville show, in place of the usual but now old-fashioned minstrel show","Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]28 Aug 1897: 12.",,
407,1897,,,,,"Frank Stanmore, a fictional character of “Miss Francis of Yale,” is student of Yale; mistaken on occasion for a woman; making mischief between one of his comrades and the young woman to whom he is engaged","The Manchester Guardian (1828-1900); Manchester (UK) [Manchester (UK)]08 Sep 1897: 5.

The Observer (1791- 1900); London (UK) [London (UK)]12 Sep 1897: 6.",Miss Francis of Yale,
408,1897,,Gauze,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]18 Oct 1897: 4.",,
409,1897,Gus,Mills,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]19 Oct 1897: 11.,,
410,1897,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]31 Oct 1897: 18.",,
411,1897,Richard,Harlow,,,"there was a doubt in the minds of many in the audience as to what sex the magnificently-attired creature before them belonged, until Harlow removes his wig which adorned his manly brow; his make-up was perfect- added to this was a rich silk gown with voluminous skirts and diamond bedecked corsage; supported by an excellent company of vaudeville artists","The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]02 Nov 1897: 10.",,
412,1897,,,,,______ can’t find,"Barry, John Arthur. Chambers's journal; London Vol. 1, Iss. 3, (Dec 18, 1897): 45-48.",,
413,1897,,,,,diamond ring for prize for best female impersonator,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]19 Dec 1897: 23,,
414,1898,,,,,"Clinton Durney, an infant, is called ""the youngest female impersonator in the business""","St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]19 Jan 1898: 2.",,
415,1898,Eden,Blair,,,female impersonator of great ability,"The Stage (Archive: 1880-1959); London Iss. 879, (Jan 20, 1898): 5.",,
416,1898,Leroy,Brand,,Mahara Minstrels,"fully came up to expectations — “minstrels come to seldom that it was but natural to see a full house""","Arizona Republican (1890 - 1922); Phoenix, Ariz. [Phoenix, Ariz]22 Jan 1898: 4.",,
417,1898,Quinton,Gibson,,,,"The Stage (Archive: 1880-1959); London Iss. 880, (Jan 27, 1898): 5.",,
418,1898,,,,,DOES NOT SHOW,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]03 Feb 1898: 12.,,
419,1898,,,,,essay on female impersonation in history — PDF downloaded,"Skinner, Otis. The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]06 Feb 1898: 23.",,
420,1898,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]13 Feb 1898: 18.",,
421,1898,William,Cronin,,,"team with Scanlan, who was born in 1856; Irish actor of unusual power as a female impersonator","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]21 Feb 1898: 6.",,
422,1898,Harry,Le Clair,,,as Cleopatra; ample opportunities to show his ability; carries out his part well,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]22 Feb 1898: 5.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]04 Mar 1898: 7.",Cleopatra?,
423,1898,Richard,Harlow,,,,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]04 Mar 1898: 7.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 Mar 1898: 12.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]13 Mar 1898: 14.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 Mar 1898: 5.",,
424,1898,Harry,Le Clair,,,"in spectacular burlesque “Miss New York, Jr.”; gave his imitations of Ophelia, of the old legitimate actress, and “Upon the Stage of Life.""","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]15 Mar 1898: 7.","Miss New York, Jr.",
425,1898,,Stuart,,,"a clever person in the cast; makes Queen Isabella very prominent; soprano voice has won for him the title of the “Male Patti""","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]22 Mar 1898: 7.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]08 May 1898: 27.",1492?,clever
426,1898,Harry,Elwood,,,billed as “Artistic female impersonator”,"Robertson, Peter. San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 Apr 1898: 5.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]12 Apr 1898: 12.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]13 Apr 1898: 10.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]17 Apr 1898: 5.",,
427,1898,,,,,can't find,"The Stage (Archive: 1880-1959); London Iss. 895,  (May 12, 1898): 5-9. 

The Stage (Archive: 1880-1959); London Iss. 896,  (May 19, 1898): 5-9. ",,
428,1898,,,,,"comic strip about the ""new female impersonator."" PDF saved","Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]22 May 1898: 37. ",,
429,1898,,,,,can't find,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]10 June 1898: 6.,,
430,1898,,,,,"advertisement for female impersonator (splendid,with a good wardrobe and lively songstress)","The Stage (Archive: 1880-1959); London Iss. 900,  (Jun 16, 1898): 21. ",,
431,1898,Eden,Blair,,,shows ability as a female impersonator and contributes some delightful business,"The Stage (Archive: 1880-1959); London Iss. 902,  (Jun 30, 1898): 6. ",,
432,1898,,,,,"latest theatre slang: male impersonator is a ""clew""; female impersonator is a ""stew""","Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]03 July 1898: 15. ",,
433,1898,,Quasina,,,Olympia Music Hall; premier female impersonator,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 July 1898: 5. ",,
434,1898,,,,,Ad: 14 year old boy asked for boy clog dancing and female imp,"The Stage (Archive: 1880-1959); London Iss. 909,  (Aug 18, 1898): 21. ",,
435,1898,,Gauze,,Georgia Minstrels,"work of Gauze was very fine as usual. This trick is a trifle old, but Gauze's impersonation is so very find and he dresses the character so perfectly, that is it ever worthy of the warmest approval.","Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]02 Oct 1898: 4.",,
436,1898,,,,,Ad: Female impersonator wanted,"The Stage (Archive: 1880-1959); London Iss. 916,  (Oct 6, 1898): 20. ",,
437,1898,,Stuart,,,"Stuart, billed as ""the Male Patti"" featured as Isabella; made a complete success of the part. He has an excellent high soprano voice and as a female impersonator is very clever. He was applauded after every song, and in the second act was presented with a large horseshoe of flowers.","Cohen, S H. The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]07 Oct 1898: 6.",1492,clever
438,1898,,,,,"Cake Walk and Ball at the West Hotel Twilight Club - eclipses any other preparations for a cake walk in the history of sweetmeat promenades: champion female impersonator and cake walker, Col. A. A. McKenzie, late of Manhattan beach. Contestants competed for great prize waltz.",Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]20 Oct 1898: 10.,,
439,1898,,Stuart,,,"PDF saved. Famous for his name on more than one continent. Asked for his real name, he says: ""I never tell for the sake of my family."" Those who have heard him sing will go again and enjoy his clever work, and those who hear him for the first time will marvel at his wonderful performance. ""How did I hit upon the female impersonation role? I have always been impressed of a remarkable voice, a birthright from my mother, and I adoped dresses for my make-up simply because the American people like to be fooled. . . . In the old countries, . . . people will accept one for his talents, but in this country they will not appreciate soprano singing unless the dress goes with it. I believe that across the water my singing was bette liked when I impersonated a woman, but I could sing in pants and still attract attention over there. That is impossible here."" ","Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]23 Oct 1898: 12. ",1492,clever
440,1898,Charles,Russow,,,"Vaudeville female impersonator, giving imitations of Anna Held and others.","Rostand, Edmond. San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]23 Oct 1898: 5. ",,
441,1898,,Stuart,,,"A Dallas boy; where others left off, he began—he perhaps has no equal on the stage today; excellent dresser, graceful impersonator; as a vocalist he is remarkable; wonderful soprano voice; high register is as clear as a bell; his voice is highly cultivated, bell-like tone; faultless intonation; he is an artist upon whom nature has bestowed all the requisites. Stuard has assisted nature, and those who have observed his onward and upward progress, have reason to regard his advancement with a great deal of satisfaction.","Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]26 Oct 1898: 2. ",1492,
442,1898,,,,,"Whittier student -- female impersonator, doing high kicking acts in a Main-street beer hall. His success in playing a feminine part was so complete that he began walking the streets in female garb to entice men to his room for blackmailing purposes. PDF saved.","Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]27 Oct 1898: 12. ",,
443,1898,William,Dugan,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]27 Oct 1898: 5.,,
444,1898,,Leffert,,,Soprano female impersonator,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]30 Oct 1898: 12.,,
445,1898,,,,,Ad,"The Stage (Archive: 1880-1959); London Iss. 920,  (Nov 3, 1898): 21. ",,
446,1898,Charlie,Rossow,,,"Brothers Rossow were midget acts. Mimics Anna Held in her famous singing specialities, and is easily entitled to be known as the smallest female impersonator on earth.","Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]06 Nov 1898: 16. ",,
447,1898,,,,,weird story about a Chinese female impersonator and his wife. PDF saved,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]12 Nov 1898: 3.",,
448,1898,,,,,Says that it is about a female impersonator in trouble but can't see it. PDF saved.,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]20 Nov 1898: B1.",,
449,1898,Rollin,Howard,,,"Lady Isabel in a burlesque of East Lynne, 1877-8 season","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]24 Nov 1898: 4. ",,
450,1898,Fon Chong,Mai,,,Tragedian and female impersonator. PDF saved,"The Nashville American (1894-1910); Nashville, Tenn. [Nashville, Tenn]28 Nov 1898: 3. 

The Nashville American (1894-1910); Nashville, Tenn. [Nashville, Tenn]29 Dec 1898: 4.",,
451,1898,,Crowley,,,The mysterious Crowley - a capital female impersonator,"The Stage (Archive: 1880-1959); London Iss. 924,  (Dec 1, 1898): 5-10. ",,
452,1898,James,Andrews,,,"Made debut as a female impersonator yesterday; brought to the police station followed by a jeering crowd of street urchins; make-up was grotesque and touching, not quite up to theatrical standard; not well blended, the lines denoting coyness and youth were crudely drawn, leaving a blurred and unnatural effect. Ordered to get out of town...??? PDFs saved","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]02 Dec 1898: 5. 

Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]03 Dec 1898: 5.",,
453,1898,Charles,Ole,,,Played Isabella; got stranded in Los Angeles; charged with burglary at his boarding house on Main street; PDF saved.,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]13 Dec 1898: 11. ",1492,
454,1898,,Marvelous Maas,,,Ad: The great female impersonator Marvellous Maas,"The Stage (Archive: 1880-1959); London Iss. 926,  (Dec 15, 1898): 4. ",,
455,1898,,,,,New Year's paraders can win prizes. Best female impersonators get $5 in gold.,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]31 Dec 1898: 2.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]03 Jan 1899: 12.",,
456,1899,Herbert,Crowley,,,,"Our Own Correspondent. The Stage (Archive: 1880-1959); London Iss. 929,  (Jan 5, 1899): 2. ",,
457,1899,William,Cronin,,,Clever female impersonator,"Our Own Correspondent. The Stage (Archive: 1880-1959); London Iss. 931,  (Jan 19, 1899): 3. ",,clever
458,1899,Max,Waldon,,,"Cleverest female impersonator of the day - gives _the_ turn of the Tivoli programme, and should certainly be seen. The audience sit in marvelling astonishment at his work, which in its manu characters is quite as good as ""the real article"" could present.","The Stage (Archive: 1880-1959); London Iss. 931,  (Jan 19, 1899): 16. ",,clever
459,1899,Herbert,Crowley,,,Smart female impersonator,"Our Own Correspondent. The Stage (Archive: 1880-1959); London Iss. 933,  (Feb 2, 1899): 3. ",,
460,1899,Quinton,Gibson,,,Clever female impersonator,"The Stage (Archive: 1880-1959); London Iss. 933,  (Feb 2, 1899): 6.",,clever
461,1899,Fon Chon,Mai,,,"Chinese female impersonators Fon Chon Mai, Ah Kee, Lee Toy, Mo Qui -- all ""powdered and painted with an artistic effect that a Casino girl might have envied.""","New York Times (1857-1922); New York, N.Y. [New York, N.Y]10 Feb 1899: 4. ",,
462,1899,Ah,Kee,,,"Chinese female impersonators Fon Chon Mai, Ah Kee, Lee Toy, Mo Qui -- all ""powdered and painted with an artistic effect that a Casino girl might have envied.""","New York Times (1857-1922); New York, N.Y. [New York, N.Y]10 Feb 1899: 4. ",,
463,1899,Lee,Toy,,,"Chinese female impersonators Fon Chon Mai, Ah Kee, Lee Toy, Mo Qui -- all ""powdered and painted with an artistic effect that a Casino girl might have envied.""","New York Times (1857-1922); New York, N.Y. [New York, N.Y]10 Feb 1899: 4. ",,
464,1899,Mo,Qui,,,"Chinese female impersonators Fon Chon Mai, Ah Kee, Lee Toy, Mo Qui -- all ""powdered and painted with an artistic effect that a Casino girl might have envied.""","New York Times (1857-1922); New York, N.Y. [New York, N.Y]10 Feb 1899: 4. ",,
465,1899,Avary,Daly,,,School child who performed with the Lyceum stock company,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]11 Feb 1899: 5. ",,
466,1899,Fon Chong,Mai,,,Like all great Chinese actors Fon Chong Mai is a female impersonator. Screenshot saved....,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]12 Feb 1899: 44.,,
467,1899,,,,Lee's Mexican Minstrels,Ad: good female impersonator to sing ballad.,"The Stage (Archive: 1880-1959); London Iss. 936,  (Feb 23, 1899): 21. ",,
468,1899,Hughey,Dougherty,,,"Burlesque taken from a school room scene, and the efforts and schemes of J. E. Murphy as the patriotic schoolmaster in trying to subdue his refractory pupils, served as an excuse for a wholesale squandering of laughter. Hughey Dougherty as the fair Alice, got in his deliberate little humor in his best style, and showed what a little cultivation will make of him as a female impersonator.",Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]07 Mar 1899: 5.,Nathan Hall,
469,1899,Max,Waldon,,,,"The Stage (Archive: 1880-1959); London Iss. 938,  (Mar 9, 1899): 17. ",,
470,1899,,,,,"Ad: Good female impersonator, age 19, looking for work.","The Stage (Archive: 1880-1959); London Iss. 938,  (Mar 9, 1899): 21. ",,
471,1899,,Stuart,,,"Long list of characters, taking from history and treated in ""true burlesque style""; Isabella best illustration: since its first performance has invariably been played by a man. This season played by Suart, the male Patti, who is well known here. He is said to be every whit as clever in his line as Harlow, which is certainly saying a good deal for Stuart.","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]02 Apr 1899: 29. ",1492,clever
472,1899,,,,,Ad: Looking for: Female impersonator or musical artist. Dutch or Irish comedian.,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]06 Apr 1899: 11.,,
473,1899,,Stuart,,,"PDF saved. Female impersonators have always been a source of deep-seated disgust to me, but Stuart compelled attention and is more impressive from a purely artistic point of view than any of these gentlemen who don skirts and furbellows for the amusement of the public. If ever a man has mastered those little details of femininity, he certainly has. In all things, he remained well within the character, and without exaggerating it got about all that there was to be extracted from the role, which has been discussed so roundly since the burlesque was first produced. Stuart has certainly forged his way to the front in recent years, and will, if he keeps on, be commanding widespread attention soon. It was not many seasons back that he was one of the permanent attractions in the concert halls over the Rhine, and very few paid much attention to him then. Now, however, he is found at the head of his own company, and if he is not entitled to rank as the best female impersonator on the American stage, he is crowding the possessor of that title closely for his laurels.","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]09 Apr 1899: 29. ",1492,
474,1899,,Saphrubu,,,,"The Stage (Archive: 1880-1959); London Iss. 948,  (May 18, 1899): 8.",The Shaughraun,
475,1899,Andrew,Benson,,,Children performing. Benson is said to excel as a female impersonator.,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]31 May 1899: 12. ",,
476,1899,,Stuart,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]11 June 1899: 27.,(no longer 1492?),
